7zip 26.01-1
qt6-translations 6.11.1-1
qt6-wayland 6.11.1-1
qt6pas 6.2.10-4
quarrel-git r901.d8738f9-1
quarrel-git-debug r901.d8738f9-1
quickshell 0.3.0-2
raptor 2.0.16-9
rav1e 0.8.1-2
re2 2:2025.11.05-5
readline 8.3.003-1
reflector 2023-5
ripgrep 15.1.0-4
ripgrep-all 0.10.10-1
rsync 3.4.4-1
rtkit 0.14-1
rtmpdump 1:2.6-2
rubberband 4.0.0-2
run-parts 5.23.2-1
sbc 2.2-1
scour 0.38.2-6
sdbus-cpp 2.3.1-1
sddm 0.21.0-7
